%%index real_part   imaginary_part
11124 11124 11124
1 34.82 0.13
2 39.91 50.99
3 31.05 45.46
4 29.67 45.73
5 22.46 32.5
6 19.97 36.64
7 15.23 6.67
8 36.4 19.35
9 17.14 49.13
10 42.32 14.04
11 24.79 47.19
12 17.49 22.58
13 23.28 46.44
14 29.62 24.13
15 31.12 3.32
16 3.45 10.84
17 9.83 33.46
18 26.92 10.88
19 4.61 40.88
20 40.9 24.12
21 8.76 46.59
22 1.27 8.87
23 47.74 43.52
24 40.65 37.67
25 19.24 32.4
26 27.59 50.5
27 21.08 11.55
28 5.99 45.09
29 17.22 44.36
30 15.2 3.14
31 13.98 15.86
32 49.33 18.65
33 29.54 43.33
34 51.73 43.77
35 15.89 1.67
36 48.27 40.63
37 17.02 44.18
38 35.7 49.54
39 2.73 12.76
40 45.16 24.35
41 22.85 21.97
42 1.05 40.28
43 0.89 11.46
44 23.34 7.04
45 29.7 37.63
46 1.49 38.55
47 5.2 11.2
48 2.53 50.82
49 10.12 2.26
50 23.46 2.26
51 10.41 26.01
52 18.19 19.73
53 36.79 27.43
54 7.71 1.89
55 45.77 7.04
56 48.54 20.4
57 8.68 36.14
58 47.6 49.59
59 24.15 9.57
60 14.72 18.95
61 5.5 1.86
62 32.58 16.21
63 34.56 30.22
64 0.01 35.12
65 4.9 44.68
66 38.21 23.47
67 10.72 34.84
68 10.27 23.93
69 45.34 15.03
70 22.07 37.51
71 5.91 39.11
72 42.78 38.13
73 35.72 14.59
74 43.68 38.38
75 24.85 27.4
76 29.26 6.4
77 42.13 30.35
78 28.1 29.36
79 12.48 24.69
80 36.89 28.11
81 19.1 36.91
82 19.75 42.63
83 14.56 29.82
84 12.37 49.54
85 35.05 27.42
86 34.06 34.44
87 20.58 40.96
88 3.55 24.84
89 30.74 23.82
90 51.22 14.75
91 21.15 3.6
92 33.95 48
93 25.37 30.81
94 23.02 29.57
95 5.68 5.37
96 42.28 27.44
97 18.07 44.3
98 41.64 29.55
99 27.1 0.15
100 27.57 2.01
101 3.98 29.67
102 18.64 9.63
103 1.99 44.08
104 35.42 41.71
105 4.47 32.74
106 36.34 34.65
107 50.17 45.14
108 23.95 37.81
109 15.39 23.54
110 48.44 46.98
111 22.42 40.59
112 32.9 6.24
113 35.8 8.01
114 8.16 42.06
115 44.08 30.42
116 8.09 3.25
117 32.41 15.58
118 7.66 46.25
119 35.97 34.4
120 15.14 10.6
121 45.25 7.96
122 1.1 19
123 4.82 10.95
124 34.49 44.58
125 7.08 39.73
126 47.84 50.45
127 4.7 49.02
128 5.03 48.26
129 38.33 8.02
130 38.44 32.71
131 3.48 49.93
132 13.51 14.05
133 8.31 35.89
134 37.82 40.69
135 51.29 11.8
136 19.76 20.48
137 39.49 12.07
138 23.02 40.38
139 0.48 11.83
140 19.08 25.03
141 23.49 7.56
142 4.58 14.92
143 11.19 47.71
144 3.73 29.13
145 29.36 17.04
146 14.97 9.69
147 43.26 32.85
148 36.26 28.48
149 36.69 51.57
