%%index real_part   imaginary_part
11538 11538 11538
1 16.57 50.94
2 17.61 9.32
3 48.94 39.28
4 9.76 20.78
5 20.11 23.26
6 38 13.09
7 1.12 14.87
8 52.03 32.97
9 39.72 33.91
10 23.12 9.27
11 51.26 29.75
12 43.58 42.24
13 35.53 11.46
14 44.82 18.36
15 34.73 29.9
16 49.37 50.57
17 28.42 51.3
18 6.11 35.5
19 3.29 24.36
20 47.62 37.39
21 50.48 44.92
22 6.79 32.62
23 12.6 51.61
24 1.04 27.34
25 36.61 20.84
26 50.59 45.68
27 34.92 3.39
28 14.86 9.69
29 49.57 17.45
30 15.88 28.2
31 25.77 31.31
32 51.13 12.25
33 16.27 22.71
34 47.07 4.24
35 41.64 41.08
36 33 10.22
37 42.84 39.12
38 6.25 39.79
39 35.65 23.96
40 44.8 28.81
41 21.5 19.27
42 22.66 10.92
43 42.13 24.94
44 42.4 6.04
45 34.24 38.71
46 38.54 26.8
47 7.57 28.54
48 51.25 36.67
49 40.92 23.84
50 11.93 13.85
51 24.07 29.56
52 37.2 44.93
53 0.25 13.91
54 6.4 43.46
55 19.27 4.42
56 23.69 19.72
57 30.64 9.29
58 34.24 14.88
59 20.92 19.78
60 27.01 45.16
61 18.96 23.69
62 52.23 12.55
63 49.22 26.53
64 18.89 50.48
65 11.33 37.14
66 35.22 30.82
67 44.28 35.4
68 17.84 40.95
69 31.41 13.05
70 17.47 45.76
71 12.48 19.2
72 28.5 9.69
73 46.09 43.13
74 31.43 31.26
75 23.42 35.53
76 6.22 5.44
77 17.99 42.38
78 37.43 5.45
79 24.46 35.73
80 41.4 3.32
81 2.67 4.31
82 8.24 23.62
83 11.57 15.47
84 28.52 47.6
85 40.36 11.5
86 52.23 14.51
87 45.72 52.84
88 11.49 49.25
89 27.51 38.81
90 21.35 42.92
91 16.88 50.93
92 8.83 49.09
93 23.07 34.87
94 39.13 46.26
95 18.1 47.53
96 20.36 27.53
97 19.67 42.29
98 4.76 28.6
99 44.72 52.77
100 32.79 1.8
101 16.32 32.08
102 31.93 32.02
103 49.79 30.56
104 16.38 11.94
105 1.87 45.82
106 12.27 6.25
107 2.34 18.75
108 22.15 21.1
109 35.88 25.41
110 41.46 29.8
111 4.33 22.51
112 11.8 8.83
113 5.95 45.52
114 13.81 16.57
115 39.89 50.68
116 51.28 46.61
117 47.15 24.73
118 2.3 51.73
119 10.68 43.95
120 5.29 18.68
121 46.45 12.55
122 52.82 17.57
123 38.67 48.79
124 42.73 43.49
125 20.29 43.08
126 12.59 52.71
127 8.54 46.14
128 7.19 24.39
129 9.48 36.02
130 2.22 21
131 14.61 49.38
132 42.63 0.5
133 52.24 30.29
134 42.76 44.93
135 32.13 9.92
136 43.99 48.05
137 12.62 25.58
138 42.9 12.33
139 24.35 19.82
140 9.9 1.15
141 0.86 13.16
142 6.31 22.49
143 46.88 30.93
144 13.95 35.02
145 3.02 24.89
146 21.27 16.17
147 38.19 39.16
148 37.97 32.42
149 24.36 37.43
150 47.35 27.73
151 22.78 25.01
152 50.6 6.86
153 19.2 3.93
154 23.75 9.02
155 10.17 43.55
156 3.71 33.65
157 3.14 32.55
158 10.48 31.54
159 13.56 18.54
160 43.43 45.95
161 30.64 38.11
162 45.79 33.22
163 12.65 15.84
164 0.27 52.28
165 27.01 5.53
166 30.54 16.15
167 23.01 18.31
168 43.76 28.14
169 5.68 42.21
170 1.28 14.51
171 16.68 37.37
172 16.93 26.52
173 5.06 19.82
174 6.89 48.93
175 41.89 40.15
176 46.78 50.32
177 52.07 19.53
178 35.37 8.09
179 7.37 11.72
180 17.25 4.17
181 20.32 2.9
182 42.73 16.31
183 44.46 43.33
184 1.07 33.5
185 48.01 18.66
186 3.04 23.87
187 50.39 33.22
188 0.04 41.49
189 37.42 23.98
190 32.65 28.45
191 25.78 47.83
192 14.37 26.43
193 3.04 46.37
194 26.61 18.26
195 22.43 10.41
196 13.31 43.86
197 7.17 11.27
198 1.61 24.56
199 5.06 20.15
200 7.34 24.2
201 48.07 21.6
202 1.82 31.9
203 20.39 13.99
204 37.97 23.38
205 51.84 26.33
206 21.17 17.62
207 12.57 46.14
208 39.51 35.54
209 22.32 15.61
210 47.54 13.12
211 25.5 13.28
212 24.55 29.37
213 0.93 1.19
214 42.87 26.16
215 18.88 6
216 27.6 50.21
217 29.11 35.48
218 49.47 29.42
219 21.32 49.5
220 22.83 2.96
221 42.1 20.16
222 13.3 12.52
223 16.58 23.19
224 38.8 21.33
225 34.45 38.91
226 52.19 33.34
227 31.23 6.95
228 29.67 23.74
229 18.43 32.16
230 38.16 19.54
231 16.75 5.83
232 41.31 34.28
233 32.22 14.38
234 10.88 6.3
235 30.78 0.55
236 20.71 2.23
237 36.28 19.88
238 43.07 2.54
239 23.87 52.86
240 38.77 50.39
241 52.25 26.85
242 2.32 6.48
243 51.75 30.48
244 9.65 31.99
245 51.53 38.7
246 44.53 16.33
247 50.62 36.8
248 51.18 1.37
249 29.19 51.36
250 51.91 30.58
251 1.34 6.98
252 48.38 41.15
253 43.69 37.62
254 37.48 6.98
255 4.37 36.08
256 9.93 44.78
257 51.26 25.15
258 2.63 12.26
259 12.77 18.53
260 4.23 12.28
261 50.14 32.83
262 16.63 17.29
263 18.66 47.76
264 14.64 14.82
265 13.92 16.37
266 23.35 13.56
267 23.23 15.26
268 21.4 18.74
269 47.24 13.92
270 18.52 5.89
271 50.67 51.61
272 23.76 49.98
273 30.76 17.45
274 35.99 47.92
275 28.72 43.53
276 23.36 8.74
277 26.03 25.86
278 42.14 8.52
279 44.86 13.21
280 29.59 3.79
281 38.87 5.78
282 42.57 52.94
283 40.2 9.1
284 44.54 10.97
285 38.38 34.44
286 1.58 10.06
287 7.04 4.57
288 22.03 46.86
289 41.78 37.8
290 49.86 26.54
291 35.28 17.51
292 11.89 41.74
293 50.26 8.32
294 21.53 1.04
295 26.35 42.12
296 47.91 51.12
297 19.59 12.22
298 21.32 6
299 16.97 6.79
300 9.76 12.86
301 22.92 2.36
302 6.93 11.34
303 26.72 51.49
304 4.81 50.48
305 24.02 15.51
306 1.54 23.19
307 11.94 27.83
308 36.15 13.43
309 35.99 9.2
310 19.85 26.2
311 45.85 9.34
312 21.56 36.28
313 42.28 12.44
314 40.75 42.88
315 24.26 6.25
316 30.13 19.03
317 51.89 47.19
318 14.2 5.59
319 24.59 25.62
320 41.13 19.01
321 42.21 17.14
322 44.97 11.19
323 24.62 22.67
324 31.87 49.64
325 44.36 7.62
326 16.96 20.24
327 3.52 37.21
328 18.17 7.05
329 49.93 45.8
330 20.58 27.45
331 46.48 21.2
332 36.91 19.23
333 46.34 13.9
334 39.52 51.11
335 38.64 17.94
336 35.08 49.17
337 7.36 49.37
338 40.56 48.57
339 13.73 31.98
340 8.12 19.44
341 8.2 5.09
342 10.83 25.09
343 32.14 11.73
344 4.53 50.52
345 24.97 50.59
346 40.31 46.63
347 12.87 39.98
348 0.88 24.22
349 43.85 6.21
350 45.67 8.92
351 5.09 51.02
352 15.91 49.27
353 44.84 12.45
354 44.43 3.48
355 44.44 27.09
356 0.71 52.56
357 46.17 52.64
358 11.37 11.54
359 30.58 46.83
360 44.42 37.43
361 31.06 24.08
362 11.06 31.74
363 24.48 12.45
364 40.19 33.46
365 42.38 36.86
366 3.4 32.86
367 29.14 47.47
368 28.44 19.31
369 44.31 42.5
370 38.12 41.39
371 40.95 35.75
372 3.92 38.83
373 18.89 2.64
374 49.47 36.81
375 21.24 49.47
376 20.55 9.42
377 9.68 20.83
378 1.8 0.13
379 33.59 2.68
380 39.54 41.99
381 43.38 44.49
382 7.48 11.46
383 30.78 41.04
384 52.06 35.92
385 24.32 43.61
386 26.37 37.18
387 23.01 33.79
388 4.96 51.81
389 35.62 41.9
390 6.9 1.43
391 10.85 25.39
392 46.22 27.45
393 27.59 42.05
394 44.74 16.54
395 5.54 29.7
396 42.72 31.28
397 42.75 17.44
398 5.48 50.2
399 1.65 42.05
400 32.66 4.54
401 41.73 47.49
402 49.8 27.55
403 26.36 33.26
404 43.69 1.76
405 24.72 30.51
406 2.9 50.59
407 25.04 4.09
408 46.15 17.64
409 34.18 21.15
410 50.86 37.89
411 37.69 8.24
412 25.68 40.58
413 6.3 48.96
414 6.53 31.16
415 35.71 29.47
416 23.96 39.2
417 35.27 45.96
418 47.74 42.29
419 44.05 30.16
420 7.67 38.43
421 4.54 15.77
422 19.87 32.09
423 18.25 29.59
424 19.26 34.54
425 19.43 52.43
426 29.2 38.64
427 26.22 25.64
428 21.61 1.88
429 1.57 1.05
430 30.52 28.14
431 35.86 5.8
432 51.76 23.01
433 33.82 39.66
434 16.82 15.02
435 0.46 24.87
436 9.17 46.01
437 46.62 5
438 3.11 50.56
439 32.1 11.87
440 11.3 43.9
441 29.54 20.05
442 45.69 9.02
443 10.91 24.29
444 25.34 35.82
445 10.97 12.48
446 18.28 24.38
447 15.91 15.35
448 2.01 38.56
449 22.1 49.73
450 43.13 18.83
451 33.36 22.56
452 49.09 52.3
453 18.38 26.98
454 38.85 20.72
455 11.62 19
456 39.05 18.68
457 27.7 41.17
458 12.46 0.26
459 36.09 7.13
460 41.13 6.32
461 30.7 15.58
462 30.93 27.93
463 35.01 15.14
464 11.87 32.95
465 20.3 4.12
466 48.2 2
467 22.82 0.67
468 49.17 12.81
469 33.54 41.2
470 7.2 35.03
471 22.23 13.68
472 23.37 14.77
473 36.56 18.45
474 47.11 4.35
475 10.67 19.65
476 3.75 35.24
477 10.18 9.9
478 25.04 34.68
479 14.63 13.71
480 17.83 36.91
481 38.92 34.94
482 4.13 13.04
483 25.85 8.74
484 18.47 0.3
485 3.85 27.91
486 41.6 47.19
487 8.97 26.08
488 13.06 33.49
489 37.85 45.53
490 33.7 7.17
491 10.93 48.52
492 5.42 37.45
493 19.13 42.63
494 3.35 51.98
495 35.9 2.29
496 5.75 21.18
497 2.74 43.34
498 20.6 31.4
499 31.7 50.12
500 46.55 7.59
501 1.79 35.56
502 30.16 3.67
503 37.17 10.76
504 24.81 11.74
505 18.91 22.02
506 17.54 5.51
507 11.48 29.85
508 41 44.49
509 43.47 52.13
510 22.94 44.35
511 34.06 47.89
512 38.23 50.21
513 28.61 5.32
514 2.44 27.36
515 34.95 7.32
516 11.4 49
517 52.67 36.74
518 16.02 10.08
519 21.83 36.84
520 27.38 40.83
521 14.86 9.26
522 7.63 44.93
523 4.94 26.34
524 47 48.64
525 39.99 16.93
526 11.83 16.94
527 14.16 42.57
528 47.9 18.58
529 45.94 42.77
530 18.61 50.34
531 14.86 27.9
532 33.16 51.53
533 8.62 36.06
534 41.42 49.19
535 5.54 51.97
536 8.23 15.81
537 29.26 20.41
538 15.27 15.87
539 33.03 34.2
540 51.13 30.79
541 47.74 20.02
542 31.12 31.48
543 50.07 30.42
544 41.71 26.02
545 44.88 43.01
546 39.43 28.85
547 27.38 6.75
548 11.33 41.12
549 37.31 4.52
550 3.49 52.75
551 15.56 11.37
552 0.3 11.73
553 49.12 13.34
554 16.06 15.58
555 14.89 29.15
556 17.69 14.2
557 14.2 31.15
558 8.57 48.81
559 21.83 11.27
560 1.29 18.81
561 47.66 35.24
562 41.99 9.24
563 50.36 43.56
564 48.09 0.32
565 21.59 3.19
566 14.57 20.1
567 0.35 37.16
568 19.02 14.87
569 51.97 49.47
570 47.14 35.09
571 17.81 13.87
572 45.02 11.84
573 29.17 32.01
574 43.29 22.12
575 9.45 19.53
576 1.77 13.1
577 22.34 25.63
578 37.71 12.28
579 12.6 41.23
580 44.42 1.32
581 21.43 2.71
582 8.39 27.51
583 10.91 21.78
584 39.78 27.42
585 9.51 9.88
586 45.27 33.92
587 14.28 27.32
588 6.33 5.82
589 49.46 11.98
590 0.03 18.14
591 31.24 5.91
592 31.54 1.8
593 14.08 22.11
594 31.86 37.77
595 39.1 48.2
596 19.43 44.8
597 19.32 7.53
598 50.83 27.83
599 2.25 30.23
600 8.63 37.61
601 40.06 11.76
602 7.6 0.91
603 6.73 22.86
604 3.36 35.45
605 0.6 3.19
606 30.62 3.39
607 5.19 0.36
608 22.47 30.68
609 15.45 40.79
610 4.51 1.33
611 14.66 1.55
612 30.6 23.95
613 51.78 33.98
614 32.73 28.44
615 34.57 22.55
616 34.31 41.36
617 10.79 43.15
618 34.54 10.43
619 45.88 17.52
620 42.23 37.9
621 41.3 15
622 15.37 19.85
623 50.53 15.01
624 24.33 6.36
625 29.22 12.99
626 36.06 50.36
