%%index real_part   imaginary_part
12912 12912 12912
1 32.65 10.91
2 27.24 22.44
3 25.29 38.67
4 16.92 13.14
5 2.15 4.65
6 45.96 38.83
7 18.69 36.98
8 45.37 37.31
9 15.71 29.04
10 20.18 21.58
11 10.7 3.9
12 46.15 33.02
13 35.38 36.15
14 34.52 19.44
15 35.26 7.05
16 6.48 28.24
17 50.68 16.91
18 4.58 33.72
19 46.86 24.97
20 18.15 21.5
21 48.85 37.53
22 23.51 1.63
23 27.46 5.06
24 22.62 17.89
25 27.99 43.18
26 47.08 42.81
27 24.83 38.69
28 12.37 42.23
29 50.19 9.22
30 16.27 46.89
31 24.13 34.45
32 0.36 22.76
33 45 12.33
34 37.3 4.94
35 14.96 29.39
36 15.92 43.97
37 45.6 1.33
38 45.91 39.44
39 45.85 22.07
40 2.77 17.54
41 9.35 22.84
42 50.06 38.37
43 29.6 34.18
44 31.92 11.43
45 7.32 17.31
46 0.77 36.72
47 48 19.97
48 32.3 1.13
49 45.6 42
50 20.39 7.12
51 0.1 49.08
52 50.42 36.32
53 13.28 34.22
54 44.81 45.33
55 11.87 8.13
56 19.49 47.58
57 34.95 21.22
58 43.93 7.07
59 18.5 2.07
60 19.39 24.85
61 10.57 14.34
62 22.83 20.16
63 9.81 7.57
64 49.58 4.13
65 11.26 43.93
66 42.02 7.49
67 43.81 50.88
68 22.62 41.44
69 24.29 6.09
70 2.74 16.44
71 13.02 36.17
72 45.91 22.24
73 17.83 47.98
74 38.57 27.36
75 1.22 36.34
76 39.2 6.96
77 15.64 0.31
78 47.41 11.04
79 15.17 13.98
80 6.91 45.99
81 42 14.95
82 3.35 37.45
83 16.41 34.82
84 29.43 25.98
85 42.42 40.71
86 14.4 32.18
87 42.94 43.96
88 29.46 48.83
89 25.2 9.77
90 34.63 17.04
91 12.52 26.42
92 15.25 11.36
93 22.4 16.69
94 30.67 11.66
95 46.17 26.09
96 29.57 26.1
97 1.08 37.18
98 21 32.92
99 47.42 17.49
100 46.72 38.95
101 8.65 38.84
102 31.81 10.12
103 7.96 0.59
104 49.89 49.79
105 15.83 21.68
106 36.62 22.04
107 33.4 16.88
108 33.57 0.87
109 12.54 4.8
110 19.42 1.76
111 16.38 7.71
112 33.41 48.99
113 19.43 17.46
114 23.48 3.41
115 30.89 15.86
116 43.22 19.2
117 29.33 39.54
118 28.66 12.55
119 11.35 25.81
120 47.49 27.55
