%%index real_part   imaginary_part
6449 6449 6449
1 22.68 30.83
2 78.92 69.61
3 55.69 94.23
4 0.16 32.43
5 37.91 48.43
6 82.71 36.08
7 74.23 104.67
8 30.43 60.39
9 69.43 20
10 23.09 19.7
11 0.95 0.14
12 39.66 1.76
13 53.71 45.03
14 59.96 8.53
15 82.24 33.25
16 37.61 45.41
17 10.02 78.44
18 41.19 11.53
19 17.48 39.24
20 87.67 41.36
21 50.96 28.92
22 28.59 65.38
23 20.78 98.72
24 13.72 32.54
25 52.25 63.73
26 63.88 10.33
27 90.61 53.2
28 71.75 77.06
29 59.11 12.85
30 46.1 0.24
31 45.65 9.87
32 88.31 83.71
33 68.77 55.67
34 94.91 24.51
35 39.39 59.77
36 88.69 51.11
37 11.49 63.87
38 57.59 90.8
39 18.35 5.79
40 69.53 44.83
41 55.16 44.12
42 70.84 1.93
43 78.99 14.3
44 27.15 37.6
45 37.84 6.62
46 16.49 73.25
47 25.49 57.01
48 7.68 78.32
49 102.83 94.26
50 22.55 76.12
51 22.23 10.74
52 74.62 84.77
53 44.09 7.24
54 13.04 0.73
55 45.57 35.96
56 80.08 56.09
57 58.02 74.25
58 88.55 45.93
59 57.05 5.53
60 12.15 10.7
61 57.48 68.41
62 20.42 2.16
63 80.48 82.97
64 45.75 1.62
65 51.26 51.84
66 62.58 68.3
67 48.07 73.49
68 54.26 5.72
69 6.46 65.69
70 101.65 40.82
71 96.91 25.55
72 73.32 76.74
73 96.19 23.45
74 2.5 56.88
75 41.1 48.24
76 11.65 14.65
77 95.33 98.58
78 50.07 5.59
79 7.21 70.81
80 96.17 95.82
81 32.65 58.48
82 0.49 53.76
83 33 54.24
84 14.93 54.75
85 69.09 12.98
86 38.53 11.59
87 88.33 34.52
88 57.97 6.86
89 37.26 53.04
90 101.28 60.47
91 48.64 78.36
92 45.47 86.45
93 92.04 38.97
94 83.31 95.54
95 59.89 72.77
96 26.25 74.48
97 101.76 92.54
98 15.3 0.27
99 55.02 29.77
100 42.75 30.24
101 41.83 97.64
102 27.16 54.81
103 35.19 103.68
104 51.72 85.14
105 14.13 72.45
106 19.33 21.52
107 2.97 36.3
108 48.79 38.32
109 2.39 68.53
110 36.3 0.62
111 75.11 62.28
112 23.34 62.56
113 62.83 45.39
114 48.68 38.64
115 68.88 91.37
116 84.01 64.96
117 14.77 84.23
118 56.43 6.18
119 64.84 23.48
120 95.93 81.67
121 103.19 52.49
122 88.79 88.78
123 100.63 79.68
124 43.21 32.59
125 33.21 103.02
126 33.82 79.52
127 10.6 81.84
128 100.76 57.16
129 95.8 46.95
130 33.32 44.44
131 4.4 33.21
132 90.96 90.86
133 70.56 97.69
134 16.17 42.4
135 19.07 3.92
136 56.41 85.62
137 42.93 95.79
138 70.47 40.21
139 46.32 38.56
140 36.58 8.69
141 61.73 53.05
142 3.42 70.4
143 101.08 72.33
144 14.28 104.18
145 17.14 91.88
146 98.61 21.12
147 85.5 21.55
148 14.24 58.1
149 100.5 51.06
150 28.5 3.94
151 89.56 93.09
152 83.88 84.92
153 98.65 27.49
154 39.57 49.36
155 31.57 13.49
156 66.54 76.15
157 15.07 93.3
158 60.63 43.48
159 16.18 11.15
160 76.56 48.43
161 43.07 33.33
162 28.4 43.69
163 101.79 23.58
164 48.16 16.16
165 20.1 97.29
166 58.91 76.67
167 56.59 83.19
168 5.68 37.79
169 60.67 23.76
170 37.25 18.78
171 94.93 92.24
172 80.54 77.31
173 15.8 83.53
174 94.68 9.69
175 58.12 5.5
176 38.83 39.76
177 83.46 101.2
178 98.3 67.23
179 56.92 80.25
180 46.07 41.46
181 13.13 77.02
182 55.21 104.98
183 11.29 43.24
184 67 34.42
185 53.2 71.97
186 32.73 77.77
187 50.09 16.65
188 100.18 8.28
189 17.97 39.41
190 18.43 63.39
191 103.15 49.62
192 19.34 57.27
193 98.02 81.61
194 56.87 12.64
195 54.1 49.94
196 100.49 102.94
197 76.44 40.76
198 57.52 50.7
199 58.64 87.73
200 54.7 98.05
201 70.82 6.84
202 102.02 87.44
203 69.24 94.43
204 2.36 97.2
